"RowID","Input_Ref_Frame","Output_Ref_frame","Input_Geopot_Datum","Output_Geopot_Datum","Input_Lat(DD)","Input_Lat(DMS)","Input_Lon(DD)","Input_Lon(DMS)","Height_Units","Input_Eht","Input_Orthoht","Output_Lat(DD)","Output_Lat(DMS)","Output_Lon(DD)","Output_Lon(DMS)","Output_Eht","Output_Orthoht","Lat_Change(m)","Lat_Sigma(s)","Lat_Sigma(m)","Lon_Change(m)","Lon_Sigma(s)","Lon_Sigma(m)","Eht_sigma","Orthoht_Sigma","SPCZone","SPCNorth(m)","SPCEast(m)","SPCNorth(usft)","SPCEast(usft)","SPCNorth(ift)","SPCEast(ift)","SPCConvergence","SPCSF","SPCCF","UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF","X","Y","Z","USNG"
"1","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","36.0026400000","N360009.50400","-120.5613300000","W1203340.78800","m","N/A","N/A","36.0026400000","N360009.50400","-120.5613300000","W1203340.78800","N/A","N/A","0.000","0.000000","0.0000","0.000","0.000000","0.0000","N/A","N/A","CA 4-0404","575,412.039","1,859,235.692","1,887,830.999","6,099,842.434","1,887,834.775","6,099,854.634","-00 55 53.29","0.99999950","N/A","UTM Zone 10","3,986,991.927","719,804.884","01 26 02.69","1.00019536","N/A","N/A","N/A","N/A","10SGE1980586992"
"2","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","36.0539038800","N360314.05397","-120.6153948000","W1203655.42128","m","N/A","N/A","36.0539038800","N360314.05397","-120.6153948000","W1203655.42128","N/A","N/A","0.000","0.000000","0.0000","0.000","0.000000","0.0000","N/A","N/A","CA 4-0404","581,180.035","1,854,457.514","1,906,754.833","6,084,166.027","1,906,758.646","6,084,178.195","-00 57 49.41","0.99999025","N/A","UTM Zone 10","3,992,558.735","714,791.661","01 24 14.35","1.00016850","N/A","N/A","N/A","N/A","10SGE1479292559"
"3","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","36.1051400000","N360618.50400","-120.6695400000","W1204010.34400","m","N/A","N/A","36.1051400000","N360618.50400","-120.6695400000","W1204010.34400","N/A","N/A","0.000","0.000000","0.0000","0.000","0.000000","0.0000","N/A","N/A","CA 4-0404","586,947.710","1,849,678.493","1,925,677.612","6,068,486.856","1,925,681.463","6,068,498.993","-00 59 45.69","0.99998179","N/A","UTM Zone 10","3,998,124.902","709,777.491","01 22 25.57","1.00014226","N/A","N/A","N/A","N/A","10SGE0977798125"
"4","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","36.1625700000","N360945.25200","-120.7388500000","W1204419.86000","m","N/A","N/A","36.1625700000","N360945.25200","-120.7388500000","W1204419.86000","N/A","N/A","0.000","0.000000","0.0000","0.000","0.000000","0.0000","N/A","N/A","CA 4-0404","593,429.776","1,843,554.019","1,946,944.190","6,048,393.478","1,946,948.084","6,048,405.575","-01 02 14.55","0.99997324","N/A","UTM Zone 10","4,004,348.979","703,389.155","01 20 04.97","1.00010973","N/A","N/A","N/A","N/A","10SGF0338904349"
"5","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","36.2426700000","N361433.61200","-120.8280800000","W1204941.08800","m","N/A","N/A","36.2426700000","N361433.61200","-120.8280800000","W1204941.08800","N/A","N/A","0.000","0.000000","0.0000","0.000","0.000000","0.0000","N/A","N/A","CA 4-0404","602,465.081","1,835,696.025","1,976,587.521","6,022,612.708","1,976,591.474","6,022,624.753","-01 05 26.19","0.99996299","N/A","UTM Zone 10","4,013,052.149","695,162.705","01 17 04.05","1.00006932","N/A","N/A","N/A","N/A","10SFF9516313052"
"6","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","36.3051900000","N361818.68400","-120.8899100000","W1205323.67600","m","N/A","N/A","36.3051900000","N361818.68400","-120.8899100000","W1205323.67600","N/A","N/A","0.000","0.000000","0.0000","0.000","0.000000","0.0000","N/A","N/A","CA 4-0404","609,508.500","1,830,276.085","1,999,695.803","6,004,830.790","1,999,699.802","6,004,842.799","-01 07 38.99","0.99995633","N/A","UTM Zone 10","4,019,865.456","689,454.858","01 14 59.02","1.00004226","N/A","N/A","N/A","N/A","10SFF8945519865"
"7","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","36.3607047600","N362138.53714","-120.9453651000","W1205643.31436","m","N/A","N/A","36.3607047600","N362138.53714","-120.9453651000","W1205643.31436","N/A","N/A","0.000","0.000000","0.0000","0.000","0.000000","0.0000","N/A","N/A","CA 4-0404","615,766.597","1,825,421.362","2,020,227.576","5,988,903.251","2,020,231.617","5,988,915.229","-01 09 38.09","0.99995141","N/A","UTM Zone 10","4,025,917.183","684,344.247","01 13 06.48","1.00001871","N/A","N/A","N/A","N/A","10SFF8434425917"
"8","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","36.4161900000","N362458.28400","-121.0009100000","W1210003.27600","m","N/A","N/A","36.4161900000","N362458.28400","-121.0009100000","W1210003.27600","N/A","N/A","0.000","0.000000","0.0000","0.000","0.000000","0.0000","N/A","N/A","CA 4-0404","622,024.346","1,820,565.689","2,040,758.208","5,972,972.600","2,040,762.289","5,972,984.546","-01 11 37.38","0.99994742","N/A","UTM Zone 10","4,031,968.250","679,232.611","01 11 13.45","0.99999581","N/A","N/A","N/A","N/A","10SFF7923331968"
"9","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","36.5007900000","N363002.84400","-121.0863200000","W1210510.75200","m","N/A","N/A","36.5007900000","N363002.84400","-121.0863200000","W1210510.75200","N/A","N/A","0.000","0.000000","0.0000","0.000","0.000000","0.0000","N/A","N/A","CA 4-0404","631,572.448","1,813,111.523","2,072,083.941","5,948,516.723","2,072,088.085","5,948,528.620","-01 14 40.82","0.99994313","N/A","UTM Zone 10","4,041,198.598","671,387.778","01 08 18.96","0.99996191","N/A","N/A","N/A","N/A","10SFF7138841199"
"10","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","36.5740900000","N363426.72400","-121.1656800000","W1210956.44800","m","N/A","N/A","36.5740900000","N363426.72400","-121.1656800000","W1210956.44800","N/A","N/A","0.000","0.000000","0.0000","0.000","0.000000","0.0000","N/A","N/A","CA 4-0404","639,861.304","1,806,187.188","2,099,278.295","5,925,799.132","2,099,282.494","5,925,810.984","-01 17 31.26","0.99994117","N/A","UTM Zone 10","4,049,192.254","664,124.574","01 05 35.68","0.99993188","N/A","N/A","N/A","N/A","10SFF6412549192"
"11","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","36.6108100000","N363638.91600","-121.2096400000","W1211234.70400","m","N/A","N/A","36.6108100000","N363638.91600","-121.2096400000","W1211234.70400","N/A","N/A","0.000","0.000000","0.0000","0.000","0.000000","0.0000","N/A","N/A","CA 4-0404","644,024.418","1,802,347.509","2,112,936.779","5,913,201.786","2,112,941.005","5,913,213.613","-01 19 05.67","0.99994080","N/A","UTM Zone 10","4,053,191.857","660,114.994","01 04 04.64","0.99991586","N/A","N/A","N/A","N/A","10SFF6011553192"
"12","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","36.6933600000","N364136.09600","-121.3070300000","W1211825.30800","m","N/A","N/A","36.6933600000","N364136.09600","-121.3070300000","W1211825.30800","N/A","N/A","0.000","0.000000","0.0000","0.000","0.000000","0.0000","N/A","N/A","CA 4-0404","653,386.750","1,793,857.627","2,143,653.030","5,885,347.896","2,143,657.317","5,885,359.667","-01 22 34.84","0.99994145","N/A","UTM Zone 10","4,062,192.061","651,242.892","01 00 42.47","0.99988182","N/A","N/A","N/A","N/A","10SFF5124362192"
"13","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","36.7393000000","N364421.48000","-121.3700100000","W1212212.03600","m","N/A","N/A","36.7393000000","N364421.48000","-121.3700100000","W1212212.03600","N/A","N/A","0.000","0.000000","0.0000","0.000","0.000000","0.0000","N/A","N/A","CA 4-0404","658,619.999","1,788,357.026","2,160,822.447","5,867,301.343","2,160,826.769","5,867,313.078","-01 24 50.10","0.99994271","N/A","UTM Zone 10","4,067,191.158","645,529.367","00 58 30.69","0.99986092","N/A","N/A","N/A","N/A","10SFF4552967191"
"14","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","36.8040500000","N364814.58000","-121.4763500000","W1212834.86000","m","N/A","N/A","36.8040500000","N364814.58000","-121.4763500000","W1212834.86000","N/A","N/A","0.000","0.000000","0.0000","0.000","0.000000","0.0000","N/A","N/A","CA 4-0404","666,042.333","1,779,048.121","2,185,173.889","5,836,760.378","2,185,178.259","5,836,772.051","-01 28 38.49","0.99994558","N/A","UTM Zone 10","4,074,218.188","635,920.035","00 54 46.54","0.99982760","N/A","N/A","N/A","N/A","10SFF3592074218"
